2025-06-19 16:05:48.362359	Avg_MHz	Busy%	Bzy_MHz	C3	C3%	CorWatt	PkgWatt
2025-06-19 16:06:36.607476	1832	33.94	5398	1663	60.56	41.08	73.36
2025-06-19 16:06:37.610430	1538	28.53	5392	1480	69.36	34.34	65.00
2025-06-19 16:06:38.611057	1683	31.19	5397	1210	64.88	37.64	68.67
2025-06-19 16:06:39.614457	1386	25.78	5378	1258	71.63	29.29	59.26
2025-06-19 16:06:40.618494	1100	20.43	5384	965	77.82	22.05	50.43
2025-06-19 16:06:41.622290	1831	34.00	5384	1590	59.66	39.97	72.25
2025-06-19 16:06:42.623823	1692	31.38	5391	1368	64.24	36.62	67.82
2025-06-19 16:06:43.630357	1808	33.62	5378	1271	62.05	39.88	72.03
2025-06-19 16:06:44.638381	1794	33.31	5387	1157	61.87	39.68	71.60
2025-06-19 16:06:45.642346	1789	33.17	5393	1043	62.07	39.67	71.54
2025-06-19 16:06:46.642975	1790	33.12	5405	1404	61.12	39.98	71.95
2025-06-19 16:06:47.643526	1510	27.96	5400	942	68.98	34.01	64.33
2025-06-19 16:06:48.644152	1693	31.40	5392	1050	65.12	37.77	68.99
2025-06-19 16:06:49.654383	1657	30.77	5384	1302	64.87	36.72	67.86
2025-06-19 16:06:50.654980	1656	30.61	5409	1070	65.48	37.02	68.05
2025-06-19 16:06:51.655522	1664	30.92	5384	1464	66.39	37.37	68.61
2025-06-19 16:06:52.663750	1796	33.30	5393	1407	60.04	40.39	72.42
2025-06-19 16:06:53.664272	1765	32.71	5397	1159	63.37	39.92	71.78
2025-06-19 16:06:54.670247	1813	33.75	5372	1281	61.85	41.04	73.37
2025-06-19 16:06:55.670751	1650	30.52	5407	1174	67.08	36.93	68.02
2025-06-19 16:06:56.671318	1627	30.19	5389	1423	68.23	36.44	67.44
2025-06-19 16:06:57.682423	1580	29.39	5376	1750	65.91	34.58	65.41
2025-06-19 16:06:58.690709	1609	29.82	5396	1193	66.80	36.16	66.97
2025-06-19 16:06:59.691250	1696	31.41	5398	1337	64.80	38.28	69.60
2025-06-19 16:07:00.705880	1555	29.09	5345	1162	67.37	35.10	65.75
2025-06-19 16:07:01.714394	1670	30.78	5425	1027	65.71	38.69	69.90
2025-06-19 16:07:02.714992	1688	31.12	5423	1875	63.12	38.33	69.67
2025-06-19 16:07:03.719217	1601	29.87	5361	1432	66.53	35.82	66.95
2025-06-19 16:07:04.730409	1610	29.94	5376	1522	65.86	35.89	67.11
2025-06-19 16:07:05.738480	1437	26.64	5393	1606	70.15	32.02	61.95
2025-06-19 16:07:06.746379	1510	27.99	5392	1271	69.41	33.01	63.08
2025-06-19 16:07:07.746927	1611	29.77	5412	1032	66.88	35.90	66.35
2025-06-19 16:07:08.747491	1556	28.84	5395	1539	65.79	35.06	65.93
2025-06-19 16:07:09.754350	1521	28.30	5375	1272	68.17	33.83	64.46
2025-06-19 16:07:10.758397	1572	29.13	5394	1098	67.85	35.05	65.63
2025-06-19 16:07:11.762335	1592	29.48	5401	1108	67.24	35.53	66.33
2025-06-19 16:07:12.766377	1570	29.18	5381	1654	68.70	35.30	66.03
2025-06-19 16:07:13.770342	1478	27.48	5379	1147	69.57	33.71	64.21
2025-06-19 16:07:14.771247	1449	26.87	5394	1025	70.03	32.00	61.88
2025-06-19 16:07:15.771885	1593	29.52	5395	1243	67.43	36.07	66.81
2025-06-19 16:07:16.778369	1601	29.73	5385	1147	67.51	36.67	67.82
2025-06-19 16:07:17.782999	1507	27.93	5395	1192	70.08	33.73	64.18
2025-06-19 16:07:18.786613	1470	27.29	5386	1094	70.07	32.78	63.03
2025-06-19 16:07:19.787150	1644	30.51	5389	1345	66.72	37.63	68.92
2025-06-19 16:07:20.790476	1487	27.64	5382	1409	70.04	33.16	63.51
2025-06-19 16:07:21.794398	1391	25.72	5407	1050	71.78	31.11	60.81
2025-06-19 16:07:22.795368	1295	23.98	5400	1119	74.85	29.03	58.33
2025-06-19 16:07:23.806279	1083	20.23	5354	1126	78.84	23.99	52.29
2025-06-19 16:07:24.814340	1150	21.33	5392	1278	78.07	26.01	54.43
2025-06-19 16:07:25.822582	1082	19.96	5420	1085	79.51	23.91	51.53
2025-06-19 16:07:26.826374	1158	21.56	5372	1266	76.91	25.39	53.67
2025-06-19 16:07:27.838208	1184	22.11	5355	957	76.98	25.74	54.11
2025-06-19 16:07:28.846377	1091	20.12	5421	945	79.12	24.31	52.28
2025-06-19 16:07:29.846959	1053	19.48	5404	1159	79.35	23.29	50.78
2025-06-19 16:07:30.847540	1046	19.42	5390	1006	79.79	23.15	50.84
2025-06-19 16:07:31.858350	986	18.38	5368	835	80.54	21.87	49.76
2025-06-19 16:07:32.859076	1055	19.47	5418	901	80.42	22.76	50.19
2025-06-19 16:07:33.862408	1059	19.66	5384	933	79.22	23.57	51.28
2025-06-19 16:07:34.863019	1053	19.49	5404	963	79.42	23.19	50.64
2025-06-19 16:07:35.874385	1031	19.18	5373	866	79.64	22.63	50.19
2025-06-19 16:07:36.875001	1061	19.56	5425	860	79.62	23.46	50.88
2025-06-19 16:07:37.882347	1145	21.28	5384	1173	77.87	25.35	53.48
2025-06-19 16:07:38.886341	1155	21.39	5402	1023	76.16	26.10	54.31
2025-06-19 16:07:39.886882	1328	24.58	5403	3988	70.40	28.90	58.50
2025-06-19 16:07:40.898419	1170	21.81	5366	1219	76.68	26.03	54.46
2025-06-19 16:07:41.902475	1093	20.16	5424	1049	79.06	21.72	49.66
2025-06-19 16:07:42.906751	632	11.64	5430	1085	87.25	8.41	34.69
2025-06-19 16:07:43.910596	1292	23.93	5398	1690	74.63	28.55	57.55
2025-06-19 16:07:44.914476	1381	25.60	5396	1064	70.87	31.48	61.09
2025-06-19 16:07:45.918434	1432	26.49	5407	1099	70.75	31.72	61.66
2025-06-19 16:07:46.926328	1213	22.49	5395	1010	75.55	27.01	55.69
2025-06-19 16:07:47.930373	1349	25.01	5392	1034	72.76	30.30	59.71
2025-06-19 16:07:48.935098	1190	22.06	5395	1683	74.43	26.21	54.74
2025-06-19 16:07:49.947980	1366	25.51	5354	1697	70.74	30.40	60.43
2025-06-19 16:07:50.954414	1238	22.90	5408	950	75.34	27.52	55.94
2025-06-19 16:07:51.958337	963	17.89	5381	890	81.11	21.10	48.20
2025-06-19 16:07:52.958969	888	16.44	5400	691	82.94	19.29	45.60
2025-06-19 16:07:53.965336	959	17.84	5376	742	80.99	20.67	47.58
2025-06-19 16:07:54.965942	1434	26.56	5399	1010	70.78	32.02	61.73
2025-06-19 16:07:55.966508	1472	27.31	5392	1386	68.38	33.08	63.10
2025-06-19 16:07:56.978362	1406	26.12	5381	1147	70.84	30.98	61.01
2025-06-19 16:07:57.986444	1493	27.67	5397	1616	70.23	33.97	64.08
2025-06-19 16:07:58.987077	1502	27.77	5409	1545	69.73	34.14	64.39
2025-06-19 16:07:59.990368	1540	28.64	5378	1339	68.75	35.45	66.17
2025-06-19 16:08:00.994459	1602	29.72	5388	1193	64.61	36.80	68.06
2025-06-19 16:08:01.998556	1536	28.52	5388	1170	68.51	34.95	65.46
2025-06-19 16:08:03.010392	1514	28.23	5363	1727	69.58	35.03	65.82
2025-06-19 16:08:04.022405	1433	26.53	5401	1307	70.47	33.17	63.02
2025-06-19 16:08:05.022968	1525	28.22	5404	1050	68.85	35.46	65.82
2025-06-19 16:08:06.026321	1556	28.94	5377	1338	67.26	36.25	67.33
2025-06-19 16:08:07.030394	1542	28.59	5394	1301	66.93	35.16	66.01
2025-06-19 16:08:08.030960	1505	27.87	5400	1157	69.05	33.85	64.18
2025-06-19 16:08:09.034522	1481	27.50	5385	1299	69.36	33.63	63.93
2025-06-19 16:08:10.035046	1454	27.00	5387	1134	70.29	33.35	63.55
2025-06-19 16:08:11.035632	1521	28.27	5379	1329	69.55	34.69	65.32
2025-06-19 16:08:12.036137	1543	28.66	5384	1365	66.57	35.76	66.61
2025-06-19 16:08:13.038640	1479	27.44	5392	1274	69.92	33.36	63.54
2025-06-19 16:08:14.039176	1479	27.45	5389	1108	69.16	33.38	63.68
2025-06-19 16:08:15.050394	1400	25.99	5386	1029	71.38	31.33	61.24
2025-06-19 16:08:16.050942	1483	27.48	5397	1610	70.68	34.28	64.53
2025-06-19 16:08:17.058413	1550	28.86	5370	1320	65.87	35.88	67.14
2025-06-19 16:08:18.058998	1441	26.64	5411	1404	72.26	32.85	62.43
2025-06-19 16:08:19.062350	1545	28.66	5390	1099	67.64	35.40	66.08
2025-06-19 16:08:20.064092	1500	27.80	5396	1327	70.28	34.27	64.48
2025-06-19 16:08:21.074365	1485	27.67	5366	1460	69.57	33.90	64.29
2025-06-19 16:08:22.074900	1452	26.85	5408	1433	71.30	33.23	63.30
2025-06-19 16:08:23.075477	1500	27.77	5402	1291	67.56	34.69	65.13
2025-06-19 16:08:24.078689	1500	27.89	5378	1053	68.86	34.03	64.31
2025-06-19 16:08:25.079347	1453	27.06	5371	1471	70.38	33.16	63.61
2025-06-19 16:08:26.079872	1410	26.29	5365	1547	71.27	32.25	62.37
2025-06-19 16:08:27.086550	1380	25.67	5378	1699	72.69	31.38	61.26
2025-06-19 16:08:28.087109	1587	29.42	5392	1752	65.61	35.79	66.52
2025-06-19 16:08:29.087724	1495	27.72	5394	1477	70.52	34.18	64.48
2025-06-19 16:08:30.095481	1492	27.79	5369	1524	68.37	33.83	64.23
2025-06-19 16:08:31.096179	1466	27.20	5389	1269	69.91	33.39	63.62
2025-06-19 16:08:32.098621	1450	26.95	5379	1323	70.41	33.18	63.31
2025-06-19 16:08:33.110338	1497	27.95	5354	2138	68.70	34.24	64.93
2025-06-19 16:08:34.118732	1466	27.24	5382	1074	69.69	33.95	64.26
2025-06-19 16:08:35.126399	1329	24.60	5402	1261	72.14	30.02	59.36
2025-06-19 16:08:36.130571	1414	26.13	5410	1116	71.83	32.75	62.41
2025-06-19 16:08:37.146360	1328	24.72	5373	1342	73.20	30.48	60.19
2025-06-19 16:08:38.166217	1430	26.72	5350	1444	70.73	32.51	62.97
2025-06-19 16:08:39.170617	1612	29.47	5468	1836	66.03	37.19	67.58
2025-06-19 16:08:40.179033	1552	28.86	5377	1378	68.15	35.90	66.85
2025-06-19 16:08:41.179667	1578	29.20	5402	1108	67.58	36.77	67.25
2025-06-19 16:08:42.182351	1540	28.62	5381	1146	67.83	35.70	66.37
2025-06-19 16:08:43.190504	1418	26.32	5388	1049	70.91	32.51	62.48
2025-06-19 16:08:44.191064	1439	26.55	5421	1489	69.50	32.64	62.52
2025-06-19 16:08:45.202401	1178	21.85	5390	1406	75.66	26.65	55.34
2025-06-19 16:08:46.202966	1217	22.53	5399	923	75.61	27.38	55.85
2025-06-19 16:08:47.203546	1554	28.85	5388	1042	67.90	35.53	66.16
2025-06-19 16:08:48.204106	1518	28.17	5388	1078	69.03	34.83	65.41
2025-06-19 16:08:49.206553	1583	29.35	5391	1448	65.66	36.55	67.66
2025-06-19 16:08:50.214344	1514	28.18	5373	1498	68.58	34.98	65.88
2025-06-19 16:08:51.222573	1459	26.99	5407	1042	70.45	33.74	63.96
2025-06-19 16:08:52.226378	1306	24.24	5388	1147	74.31	29.74	58.95
2025-06-19 16:08:53.231476	1008	18.71	5386	1026	80.67	23.43	51.14
2025-06-19 16:08:54.238361	1490	27.71	5377	1218	69.99	34.70	65.27
2025-06-19 16:08:55.242411	1572	29.11	5400	1800	66.45	36.81	67.90
2025-06-19 16:08:56.250578	1573	29.17	5393	1398	68.23	36.39	67.34
2025-06-19 16:08:57.262215	1607	30.01	5356	1161	66.26	37.33	68.37
2025-06-19 16:08:58.262716	1550	28.57	5425	1212	68.74	35.92	66.73
2025-06-19 16:08:59.270427	1494	27.86	5361	1231	68.77	35.28	66.16
2025-06-19 16:09:00.272977	1568	29.05	5398	1597	65.23	36.85	68.10
2025-06-19 16:09:01.273971	1413	26.16	5402	1064	71.07	32.44	62.26
2025-06-19 16:09:02.274531	1519	28.16	5392	1007	68.91	35.21	65.76
2025-06-19 16:09:03.278716	1454	26.94	5397	1168	71.19	33.57	63.70
2025-06-19 16:09:04.282966	1554	28.84	5388	1068	67.57	35.83	66.55
2025-06-19 16:09:05.288080	1480	27.46	5387	1658	68.22	34.33	64.85
2025-06-19 16:09:06.291236	1509	27.91	5406	1517	68.73	34.81	65.52
2025-06-19 16:09:07.291821	1561	28.97	5390	955	67.83	37.52	68.69
2025-06-19 16:09:08.294382	1471	27.36	5378	1128	69.53	34.74	65.11
2025-06-19 16:09:09.294997	1521	28.21	5393	1168	68.94	35.41	66.09
2025-06-19 16:09:10.298643	1490	27.66	5386	1112	69.30	34.28	64.69
2025-06-19 16:09:11.306362	1426	26.49	5384	1702	67.89	32.81	63.25
2025-06-19 16:09:12.318366	1334	24.66	5410	995	73.29	30.61	59.87
2025-06-19 16:09:13.318882	1391	25.71	5411	1007	71.88	32.19	61.74
2025-06-19 16:09:14.330960	1392	25.91	5374	981	71.23	31.38	61.30
2025-06-19 16:09:15.331559	1564	28.90	5412	1030	68.36	36.18	66.78
2025-06-19 16:09:16.336170	1605	29.83	5380	1810	64.70	37.35	68.63
2025-06-19 16:09:17.338669	1532	28.39	5396	1094	68.53	35.70	66.18
2025-06-19 16:09:18.342380	1478	27.49	5378	1088	69.33	34.36	65.02
2025-06-19 16:09:19.343028	1500	27.84	5387	1072	69.21	35.04	65.70
2025-06-19 16:09:20.350390	1520	28.27	5376	1125	68.67	35.22	66.06
2025-06-19 16:09:21.354384	1490	27.64	5392	1139	67.19	34.88	65.73
2025-06-19 16:09:22.365572	1532	28.58	5360	1517	68.00	35.68	66.61
2025-06-19 16:09:23.366167	1555	28.63	5433	1467	70.13	36.97	67.71
2025-06-19 16:09:24.374432	1505	27.97	5381	1079	69.02	34.64	65.40
2025-06-19 16:09:25.378663	1447	26.80	5400	988	70.96	33.84	64.13
2025-06-19 16:09:26.386642	1571	29.21	5379	1209	67.79	36.60	67.71
2025-06-19 16:09:27.394362	1657	30.73	5393	1496	64.24	38.80	70.49
2025-06-19 16:09:28.398422	1490	27.58	5403	1109	69.78	34.39	64.67
2025-06-19 16:09:29.399862	1489	27.62	5393	1250	70.21	34.22	64.53
2025-06-19 16:09:30.410367	1478	27.44	5384	1232	70.50	34.13	64.86
2025-06-19 16:09:31.414369	1449	26.90	5389	1064	69.17	33.76	64.15
2025-06-19 16:09:32.414868	1444	26.73	5401	1344	68.61	33.45	63.84
2025-06-19 16:09:33.415488	1433	26.60	5389	1237	70.72	33.22	63.55
2025-06-19 16:09:34.422352	1450	26.94	5384	984	70.02	33.31	63.51
2025-06-19 16:09:35.430539	1409	26.15	5389	1250	71.71	32.33	62.30
2025-06-19 16:09:36.434619	1491	27.68	5386	1228	69.16	35.32	66.06
2025-06-19 16:09:37.442432	1469	27.37	5366	1369	69.20	34.20	64.84
2025-06-19 16:09:38.454370	1516	28.15	5385	1508	68.31	35.16	65.87
2025-06-19 16:09:39.459055	1410	26.13	5396	1325	72.30	32.24	62.15
2025-06-19 16:09:40.462545	1378	25.57	5389	1671	72.97	31.15	60.99
2025-06-19 16:09:41.470338	1397	26.07	5359	1613	70.92	31.52	61.87
2025-06-19 16:09:42.474430	672	12.40	5414	538	86.85	11.26	37.56
2025-06-19 16:09:43.475358	554	10.26	5403	759	87.40	7.31	33.37
2025-06-19 16:09:44.482634	614	11.35	5407	621	86.09	8.02	32.67
2025-06-19 16:09:45.483228	660	12.16	5428	412	87.66	9.47	34.27
2025-06-19 16:09:46.494215	1352	25.23	5360	1176	71.48	29.29	58.65
2025-06-19 16:09:47.494812	1360	25.20	5396	1114	72.69	31.08	60.56
2025-06-19 16:09:48.498345	1331	24.76	5376	954	72.64	30.44	60.03
2025-06-19 16:09:49.508667	1369	25.45	5382	1150	72.25	31.60	61.27
2025-06-19 16:09:50.513324	1408	26.14	5386	1225	71.51	32.43	62.40
2025-06-19 16:09:51.518464	1358	25.26	5376	1232	72.77	31.24	60.90
2025-06-19 16:09:52.518988	1296	24.01	5400	1252	74.96	29.67	58.89
2025-06-19 16:09:53.522367	1297	24.11	5379	1124	73.91	29.49	58.87
2025-06-19 16:09:54.522899	1370	25.40	5396	1260	72.63	31.51	61.18
2025-06-19 16:09:55.524693	1341	24.93	5378	1045	72.81	30.92	60.63
2025-06-19 16:09:56.530519	1364	25.38	5373	1191	72.19	31.44	61.24
2025-06-19 16:09:57.531126	1411	26.19	5387	1472	72.16	31.89	61.76
2025-06-19 16:09:58.538419	1269	23.61	5376	1090	74.13	28.53	57.74
2025-06-19 16:09:59.546375	1419	26.28	5400	996	71.36	32.58	62.47
2025-06-19 16:10:00.546929	1386	25.64	5407	953	72.17	31.85	61.66
2025-06-19 16:10:01.558423	1416	26.34	5374	1323	71.12	32.01	61.91
2025-06-19 16:10:02.558987	1422	26.33	5403	1219	71.24	32.70	62.68
2025-06-19 16:10:03.562629	1342	24.87	5395	992	73.11	30.93	60.41
2025-06-19 16:10:04.566452	1383	25.72	5376	1558	73.17	32.05	61.96
2025-06-19 16:10:05.570367	1324	24.54	5396	1506	74.09	30.40	59.70
2025-06-19 16:10:06.570900	1410	26.07	5409	1012	71.29	32.73	62.45
2025-06-19 16:10:07.582399	1480	27.54	5374	1235	69.01	33.79	64.37
2025-06-19 16:10:08.594344	1510	28.10	5375	1301	68.21	35.08	65.86
2025-06-19 16:10:09.598483	1476	27.32	5402	1180	69.73	33.51	63.62
2025-06-19 16:10:10.602448	1431	26.55	5390	1310	70.65	32.84	63.03
2025-06-19 16:10:11.614249	1489	27.70	5375	1398	69.08	34.37	65.01
2025-06-19 16:10:12.615158	1594	29.35	5429	1311	64.58	37.14	67.88
2025-06-19 16:10:13.621731	1566	29.07	5389	1034	68.04	36.42	67.24
2025-06-19 16:10:14.622211	1469	27.23	5395	988	69.85	34.54	65.04
2025-06-19 16:10:15.622814	1437	26.67	5390	1081	70.04	33.28	63.50
2025-06-19 16:10:16.630805	1388	25.93	5354	1518	71.39	32.33	62.64
2025-06-19 16:10:17.638550	1501	27.77	5404	1504	68.82	34.62	65.01
2025-06-19 16:10:18.646628	1626	30.12	5398	1526	65.05	37.44	68.63
2025-06-19 16:10:19.654367	1492	27.81	5365	4961	64.41	33.74	64.96
2025-06-19 16:10:20.654938	1468	27.13	5412	1061	71.20	33.97	64.18
2025-06-19 16:10:21.658388	1394	25.99	5364	1203	71.39	32.10	62.35
2025-06-19 16:10:22.658926	1377	25.56	5386	1879	70.54	31.70	61.65
2025-06-19 16:10:23.670367	1467	27.36	5361	963	69.78	33.27	63.72
2025-06-19 16:10:24.671021	1565	28.91	5414	1545	67.31	36.29	66.98
2025-06-19 16:10:25.671664	1536	28.52	5387	1205	68.52	35.67	66.43
2025-06-19 16:10:26.675317	1459	27.14	5375	1654	71.11	33.91	64.47
2025-06-19 16:10:27.678381	1503	28.02	5365	1644	70.47	34.57	65.24
2025-06-19 16:10:28.682215	1444	26.93	5361	2080	70.13	32.97	63.08
2025-06-19 16:10:29.686762	1588	29.38	5406	1134	67.37	36.80	67.92
2025-06-19 16:10:30.690534	1602	29.71	5392	1343	64.32	37.64	69.10
2025-06-19 16:10:31.691135	1421	26.31	5400	1038	70.72	32.26	62.12
2025-06-19 16:10:32.694562	1542	28.65	5384	1136	68.18	36.12	67.08
2025-06-19 16:10:33.695181	1556	28.87	5391	1350	68.89	35.85	66.77
2025-06-19 16:10:34.702326	1478	27.51	5373	1104	69.76	34.04	64.64
2025-06-19 16:10:35.702982	1466	27.19	5392	1550	67.83	34.15	64.72
2025-06-19 16:10:36.706333	1519	28.27	5374	1113	68.87	35.03	65.77
2025-06-19 16:10:37.710398	1493	27.70	5390	1039	69.51	34.70	65.21
2025-06-19 16:10:38.710926	1426	26.41	5400	1656	71.78	32.66	62.46
2025-06-19 16:10:39.718390	1496	27.86	5368	1634	69.99	34.41	65.00
2025-06-19 16:10:40.730492	1429	26.51	5389	1352	71.81	33.06	63.21
2025-06-19 16:10:41.734590	1327	24.55	5403	1058	73.99	30.66	59.69
2025-06-19 16:10:42.748603	1371	25.51	5376	1248	72.42	31.12	60.91
2025-06-19 16:10:43.754264	1338	24.71	5414	1383	73.93	30.46	59.60
2025-06-19 16:10:44.762352	1130	20.95	5395	1022	78.21	25.32	53.24
2025-06-19 16:10:45.766464	1477	27.41	5389	1043	70.12	33.43	63.67
2025-06-19 16:10:46.774428	1347	25.05	5377	1016	73.26	31.21	61.08
2025-06-19 16:10:47.782384	1025	18.90	5421	680	80.68	22.74	49.88
2025-06-19 16:10:48.786647	1144	21.11	5420	811	77.70	25.75	53.57
2025-06-19 16:10:49.787236	954	17.61	5421	620	81.85	21.06	47.69
2025-06-19 16:10:50.790413	1453	26.99	5383	1114	70.39	33.00	63.06
2025-06-19 16:10:51.794371	1504	27.92	5389	1099	69.30	33.97	64.53
2025-06-19 16:10:52.798577	1387	25.70	5398	1088	72.37	31.58	61.23
2025-06-19 16:10:53.806770	1235	23.01	5369	920	75.19	27.97	56.91
2025-06-19 16:10:54.807302	1319	24.40	5408	1032	73.66	29.89	59.05
2025-06-19 16:10:55.822349	1450	27.09	5351	1173	70.22	33.10	63.52
2025-06-19 16:10:56.823699	1537	28.35	5420	1221	70.29	35.29	65.50
2025-06-19 16:10:57.826573	1464	27.18	5386	1083	70.49	33.46	63.70
2025-06-19 16:10:58.830728	1009	18.66	5406	807	80.83	22.44	49.74
2025-06-19 16:10:59.838316	978	18.17	5381	681	80.73	21.48	48.66
2025-06-19 16:11:00.842575	996	18.35	5427	709	81.36	22.01	48.80
2025-06-19 16:11:01.843216	776	14.38	5399	621	85.10	17.09	40.84
2025-06-19 16:11:02.850193	1425	26.56	5366	1321	69.33	32.04	61.75
2025-06-19 16:11:03.858367	1435	26.55	5404	1583	71.75	32.05	62.01
2025-06-19 16:11:04.862408	1274	23.60	5397	1240	73.85	28.04	56.61
2025-06-19 16:11:05.862988	1532	28.39	5397	1504	67.77	35.14	65.60
2025-06-19 16:11:06.863541	1532	28.40	5394	999	68.80	35.82	66.34
2025-06-19 16:11:07.864424	1693	31.40	5391	3815	61.99	38.69	70.54
2025-06-19 16:11:08.868198	1257	23.37	5380	2036	74.08	28.72	58.01
2025-06-19 16:11:09.868816	845	15.63	5402	1912	82.89	18.76	45.63
2025-06-19 16:11:10.874441	1348	25.05	5382	1137	72.78	30.51	59.95
2025-06-19 16:11:11.878328	1421	26.34	5395	1023	71.28	31.91	61.59
2025-06-19 16:11:12.878880	1231	22.83	5392	999	75.22	28.13	55.00
2025-06-19 16:11:13.882404	1550	28.79	5382	1577	67.18	35.91	66.73
2025-06-19 16:11:14.886467	1515	28.14	5384	1408	68.74	34.87	65.55
2025-06-19 16:11:15.894372	1513	28.16	5373	1192	69.12	34.73	65.38
2025-06-19 16:11:16.902444	1520	28.16	5396	1464	69.91	35.01	65.24
2025-06-19 16:11:17.906386	1529	28.36	5392	1118	68.33	34.83	65.11
2025-06-19 16:11:18.906983	1547	28.62	5405	1657	66.92	35.81	66.52
2025-06-19 16:11:19.918404	1432	26.64	5374	1545	70.54	33.18	63.57
2025-06-19 16:11:20.925163	1476	27.27	5412	1078	70.18	33.53	63.39
2025-06-19 16:11:21.930403	1330	24.75	5375	1246	73.30	30.32	59.76
2025-06-19 16:11:22.954197	1399	26.21	5336	1132	70.77	31.81	61.68
2025-06-19 16:11:23.958365	1397	25.70	5439	1062	72.58	32.35	61.92
2025-06-19 16:11:24.958896	1428	26.47	5396	1199	71.21	32.45	62.28
2025-06-19 16:11:25.962374	1412	26.23	5383	1579	72.44	32.29	62.22
2025-06-19 16:11:26.974385	1473	27.41	5373	1319	70.35	34.58	65.18
2025-06-19 16:11:27.974959	1490	27.53	5413	1095	70.29	34.21	64.39
2025-06-19 16:11:28.978357	1388	25.82	5375	1191	71.79	31.54	61.19
